predicted-program,gt-program,visual-program,match,visual-match
"""""",electrical engineering,"""""",0,1
"""""",electrical engineering,"""""",0,1
"""""",astronomy;astrophysics,"""""",0,1
"""""",civil engineering,"""""",0,1
"""""",chemistry,"""""",0,1
"""""",mechanics,"""""",0,1
"""""",mathematics,"""""",0,1
"""""",astronomy;astrophysics,"""""",0,1
"""""",physics,"""""",0,1
"""""",condensation,"""""",0,1
"""""",mathematics,"""""",0,1
"""""",mathematics,"""""",0,1
"""""",mathematics,"""""",0,1
"""""",mechanical engineering,"""""",0,1
"""""",vocational education,"""""",0,1
"""""",zoology,"""""",0,1
"""""",microbiology,"""""",0,1
"""""",polymers,"""""",0,1
"""""",economics,"""""",0,1
"""""",agricultural engineering,"""""",0,1
"""""",recreation,"""""",0,1
"""""",forestry,"""""",0,1
"""""",agricultural engineering,"""""",0,1
"""""",civil engineering,"""""",0,1
"""""",psychotherapy,"""""",0,1
"""""",botany,"""""",0,1
"""""",zoology,"""""",0,1
"""""",organic chemistry;energy,"""""",0,1
"""""",fluid dynamics;gases,"""""",0,1
"""""",livestock,"""""",0,1
"""""",livestock,"""""",0,1
"""""",school administration,"""""",0,1
"""""",ecology,"""""",0,1
"""""",vocational education,"""""",0,1
"""""",economics,"""""",0,1
"""""",civil engineering,"""""",0,1
"""""",chemistry,"""""",0,1
"""""",civil engineering,"""""",0,1
,vocational education,"""""",0,0
